;integrations_themes;integrations_keywords
863;feature,app_lib_service;sublime,editor
864;feature;languages
865;app_lib_service;moodle,netlogo
869;app_lib_service;spark
871;app_lib_service;vim
877;app_lib_service;emacs
879;app_lib_service;wordpress
881;version;git(\W|$)
883;app_lib_service;bokeh
887;language;java
889;platform;aws,host,google,cloud
890;app_lib_service;vim
892;feature;languages,mobile
894;app_lib_service,feature;slides,slide,sublime,github
897;feature;editor
898;feature;completion
899;version;git(\W|$)
905;app_lib_service;d3,octave,matlab
906;language,app_lib_service;R(\W|$),excel,tableau
915;language,app_lib_service;html,d3,java
916;language,app_lib_service;js,three.js,sage
918;version,language,app_lib_service;git(\W|$),R(\W|$),excel
919;feature;debug
926;app_lib_service;vim
933;app_lib_service;slurm
938;feature;web ?hook,schedul
940;language;cling
948;feature,app_lib_service;diagram,pdf,graphvis
951;platform;host
956;app_lib_service;d3
960;app_lib_service,feature;table of content,extensions,auto ?complet(e|ion),sublime,navigation
963;app_lib_service;spark
966;feature,language,app_lib_service;atom,python(3|2)?,sublime,ides?(\W|$)
971;app_lib_service;ipython,matplotlib
974;version,language,app_lib_service;flask,git(\W|$),sql,github
979;feature;extensions,plugin,file browse,memory
980;platform,feature;google,spreadsheet
986;feature;command\W?line,video
987;version;git(\W|$)
996;app_lib_service;pandas,matplotlib
998;language,app_lib_service;sphinx,d3,js,pandas
1001;language;R(\W|$)
1002;app_lib_service;vim,pycharm
1004;language,platform,app_lib_service;d3,js,docker,pycharm
1010;feature;notification,native
1016;feature;remote kernel
1018;language,app_lib_service;d3,java
1022;app_lib_service;django
1026;version;git(\W|$)
1031;feature;plot(ting),exploration
1037;app_lib_service;d3
1042;feature;debug,completion,interactiv(e|ity)
1047;app_lib_service;pycharm
1050;app_lib_service,feature;vim,plugin,slide,interactiv(e|ity)
1063;app_lib_service;vim
1065;language,feature;auto ?complet(e|ion),haskell
1069;version;git(\W|$)
1076;feature,language,app_lib_service;java,d3,js,visualization,visuali(s|z)ation
1083;platform,app_lib_service;windows,shiny,jupyter\W?hub
1087;app_lib_service;pylint
1090;feature;script
1091;app_lib_service;pycharm
1092;language,app_lib_service;d3,js
1093;feature;plot(ting),3d,exploration
1095;feature,app_lib_service;pep8,d3,them(e|ing),lint
1097;app_lib_service;scikit
1100;feature,app_lib_service;ides?(\W|$),spyder
1104;feature;documentation
1107;app_lib_service;ros(\W|$)
1112;app_lib_service;vim
1115;version;git(\W|$)
1116;app_lib_service;markdown
1119;app_lib_service;matplotlib
1124;feature;install
1125;language;sql
1129;platform,app_lib_service;ios,pycharm
1132;feature;editor,clipboard
1133;version,feature;git(\W|$),auto ?complet(e|ion)
1134;language,app_lib_service;jdk,idea,netbeans
1135;app_lib_service;emacs
1138;app_lib_service;vim
1143;app_lib_service;vim
1145;feature,language,app_lib_service;visuali(s|z)ation,R(\W|$),spark,visualization,tableau
1150;app_lib_service;pycharm
1151;feature;hidden cells,warning,comment
1159;language;js
1161;language,feature;js,api(\W|$),sql
1165;version;git(\W|$)
1166;app_lib_service;webgl
1177;app_lib_service;pyside
1178;app_lib_service,feature;stack overflow,ides?(\W|$),github
1179;language;latex
1182;app_lib_service;rodeo
1183;feature;debug,keyboard,interactiv(e|ity)
1184;feature;command\W?line
1186;version;git(\W|$)
1189;platform,app_lib_service;openbsd,xcode
1192;language;i?julia,julia
1195;language;i?julia,julia
1204;;
1212;feature;table of content,management
1216;app_lib_service;github
1226;app_lib_service;opencv
1230;feature,version,app_lib_service;variable,git(\W|$),test,spyder
1233;app_lib_service;vim
1234;platform,app_lib_service;deploy,spark
1239;feature,version,app_lib_service;mercurial,pandoc,interactiv(e|ity)
1243;app_lib_service;matplotlib,numpy
1247;app_lib_service,feature;terminal,sublime,rstudio,spyder
1249;feature;visualization,visuali(s|z)ation
1250;app_lib_service;django,pycharm
1253;app_lib_service;vim,pycharm
1254;app_lib_service;pandas,bokeh
1255;platform,app_lib_service;gmail,google
1258;feature;memory,state
1262;app_lib_service;pycharm
1264;version,platform,app_lib_service;git(\W|$),webgl,docker
1266;app_lib_service;atom,pycharm
1267;language,app_lib_service;hive,pandas,sql
1268;app_lib_service;stata
1270;app_lib_service;spark
1272;app_lib_service;pycharm
1273;language,app_lib_service;d3,js
1274;app_lib_service;pandas
1275;language;python(3|2)?,R(\W|$),i?julia,julia
1281;version;git(\W|$)
1283;version,language;git(\W|$),rust
1285;feature,language,app_lib_service;bash,sparql,sql,image
1287;version,app_lib_service;git(\W|$),(ana)?conda
1291;feature,platform,app_lib_service;slides,slide,google,github
1296;language,app_lib_service;ipython,R(\W|$),bash
1297;app_lib_service;excel
1299;version,feature;version(ing)?\Wcontrol,console
1301;feature;ides?(\W|$)
1306;feature,app_lib_service;vim,debug
1307;app_lib_service;vispy,pycharm
1308;feature;repl
1310;app_lib_service,language,feature;pycharm,java,blog
1314;version;git(\W|$)
1317;feature;plot(ting),interactiv(e|ity)
1318;app_lib_service;spark
1323;feature;graphs
1324;version;git(\W|$)
1325;app_lib_service,language,feature;python(3|2)?,debug,grid,rodeo,spyder
1332;feature,language,app_lib_service;d3,python(3|2)?,debug,visualization,visuali(s|z)ation
1333;version,app_lib_service;emacs,git(\W|$),pandoc
1334;version,feature;version(ing)?\Wcontrol,lint,visualization,visuali(s|z)ation
1335;language;i?julia
1337;feature;without code,schedul
1339;feature;test
1342;version;version(ing)?\Wcontrol,git(\W|$)
1346;feature;debug
1349;feature,app_lib_service;spark,dashboard
1354;language,app_lib_service;python(3|2)?,pandas
1355;feature,app_lib_service;matplotlib,interactiv(e|ity)
1356;feature;styles,large data,share,skins
1359;app_lib_service;rise(\W|$),github
1363;version,app_lib_service;d3,npm,git(\W|$)
1366;app_lib_service;emacs
1368;version,app_lib_service;git(\W|$),idea
1369;app_lib_service;atom
1371;version;git(\W|$)
1372;feature,app_lib_service;scikit,interactiv(e|ity)
1373;;
1375;app_lib_service;bokeh,pycharm
1377;language;bash,sql
1378;feature,app_lib_service;debug,(ana)?conda
1380;platform,app_lib_service;sublime,docker
1381;feature,app_lib_service;customiz,them(e|ing),profil(e|ing),mobile,github
1384;version,language,feature;js,git(\W|$),spreadsheet
1386;version,platform,feature;version(ing)?\Wcontrol,deploy,git(\W|$),web app
1388;feature;presentation,interactiv(e|ity)
1389;language,app_lib_service;R(\W|$),bokeh
1390;version,language,app_lib_service;version(ing)?\Wcontrol,sumatra,python(3|2)?
1392;app_lib_service;hfg
1393;version;git(\W|$)
1394;version,feature;version(ing)?\Wcontrol,auto ?complet(e|ion),ides?(\W|$),git(\W|$),editor
1395;app_lib_service;hadoop
1396;feature;plot(ting),management,interactiv(e|ity)
1397;app_lib_service;vim
1399;version;git(\W|$)
1400;version,app_lib_service;hive,impala,git(\W|$),spark
1405;feature,app_lib_service;graphs,spark
1408;platform,feature;cloud,saas,docker,database
1410;language,app_lib_service;js,three.js,webgl
1413;language;R(\W|$)
1414;version;git(\W|$)
1415;feature,language,app_lib_service;html,visuali(s|z)ation,java,visualization
1416;app_lib_service,version,language,feature;d3,git(\W|$),sql,editor
1417;language;R(\W|$)
1419;app_lib_service;xplot
1420;feature,app_lib_service;stash,install,(ana)?conda
1423;feature;debug
1425;version,app_lib_service;emacs,git(\W|$)
1427;language,app_lib_service;mysql,python(3|2)?,sql
1430;platform;aws
1434;version,app_lib_service;flake,git(\W|$)
1437;app_lib_service;hadoop,rstudio,(ana)?conda
1438;version;git(\W|$)
1439;app_lib_service;eclipse,intellij
1441;app_lib_service;sphinx,venv,virtualenv,(ana)?conda
1444;app_lib_service;scikit,pandas,matplotlib
1446;app_lib_service;pip
1447;language,feature;haskell,slide,fortran,slides,python(3|2)?,C(\W|$),languages
1448;language,feature;visuali(s|z)ation,R(\W|$),visualization,interactiv(e|ity)
1450;feature;debug
1451;feature,app_lib_service;converter,github
1452;feature,app_lib_service;spreadsheet,(ana)?conda
1453;version;git(\W|$)
1454;feature;widgets,dashboard
1455;version;hg,git(\W|$)
1456;version,feature;version(ing)?\Wcontrol,git(\W|$),widgets,video,lint
1458;feature,app_lib_service;plot(ting),matplotlib,interactiv(e|ity)
1459;feature,app_lib_service;visualization,visuali(s|z)ation,terminal,3d,yt
1460;;
1463;version,feature;git(\W|$),ides?(\W|$),terminal
1464;app_lib_service;plot(\.)?ly
1466;app_lib_service;sage
1469;app_lib_service,feature;index,flake,pep8
1470;app_lib_service;pandas,matplotlib
1472;version;git(\W|$)
1474;version,language;latex,git(\W|$)
1476;feature,language,app_lib_service;polyglot,beaker,languages
1477;language,feature;xml,spreadsheet,java
1478;feature,language,app_lib_service;d3,vim,emacs,ides?(\W|$),java,js,writing
1479;app_lib_service;d3
1480;language,app_lib_service;d3,js
1483;app_lib_service;vim,atom,emacs
1484;feature;shortcut,keyboard
1486;feature,version,app_lib_service;version(ing)?\Wcontrol,pip,git(\W|$),command\W?line,script
1487;app_lib_service;tern(\W|$),jedi,eslint
1490;app_lib_service;jupyter\W?hub
1494;app_lib_service;pip,virtualenv
1496;app_lib_service;pdb
1497;app_lib_service;nbconvert
1498;feature,app_lib_service;matplotlib,visuali(s|z)ation,gis
1503;version,feature;version(ing)?\Wcontrol,collab
1504;feature,version,app_lib_service;git(\W|$),test,github
1505;feature;debug
1507;language,app_lib_service;d3,js
1515;feature,language,app_lib_service;bibliography,latex,mayavi,visuali(s|z)ation,writing
1516;;
1517;feature,app_lib_service;vim,htop,emacs,terminal
1520;feature;profil(e|ing)
1521;version,app_lib_service;vim,git(\W|$)
1522;app_lib_service;(ana)?conda
1523;app_lib_service;selenium,django
1524;app_lib_service,feature;d3,script,native
1525;app_lib_service;vim,pdb
1527;feature,language,app_lib_service;d3,nose,nosebook,interactiv(e|ity),emacs,plot(ting),js
1529;version,feature;env(ironment)? vars,git(\W|$)
1532;feature,version,app_lib_service;version(ing)?\Wcontrol,gui,git(\W|$),ides?(\W|$),editor
1534;app_lib_service;matlab,spyder,pycharm
1538;feature,language,app_lib_service;nbgrader,latex,citation,plot(ting),interactiv(e|ity)
1541;version,app_lib_service;git(\W|$),(ana)?conda
1542;feature;debug,interactiv(e|ity)
1551;feature;terminal
1552;language,app_lib_service;ffmpeg,R(\W|$)
1554;version,feature;git(\W|$),management
1556;app_lib_service;coursera,github
