;first_experience_enhancements_themes;first_experience_enhancements_keywords
1444;ux;(style(s|sheets?)?|styling|CSS|themes?|skin|fonts?|colo(u)?rs?),(screen|width)
1450;hosting,documentation,integration;pylab,start,doc(s|umentation)?($|\W),tutorial(s?)
1451;documentation;doc(s|umentation)?($|\W)
1453;version_control,editor;(text|code\s)?edit(or|ing),version control
1458;documentation,extensions;doc(s|umentation)?($|\W),extensions?
1460;;
1464;hosting,installation,integration;server,%?matplotlib,configur(e|ation|ing),set(ting)?(\s)?up
1468;ux;(auto)?-?sav(e|ing)|checkpoints?
1470;;
1476;editor;(text|code\s)?edit(or|ing)
1477;hosting,documentation,editor,ux;vim?($|\W)|emacs,server,stab(le|ility)|crash(es)?,start,tutorial(s?),(auto)?-?sav(e|ing)|checkpoints?
1478;hosting,ux,content_management;navigat(e|ion|ing),(folders?|director(y|ies)),launch(ing)?,(multi-|multiple\s)cells?
1480;documentation;doc(s|umentation)?($|\W)
1484;editor;(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
1493;documentation,editor,ux,integration;pandas,examples?,(clear|run) all,(tab|code|auto)-?\s?complet(e|ion),(auto)?-?sav(e|ing)|checkpoints?
1494;documentation;doc(s|umentation)?($|\W)
1495;other;confusing
1503;documentation,extensions;tutorial(s?),extensions?
1515;documentation;doc(s|umentation)?($|\W)
1517;content_management,extensions;plugins?,toc|table of contents
1524;documentation;examples?
1525;hosting,editor,ux;(text|code\s)?edit(or|ing),start,(double(\s|-))?click(ing)?
1529;installation;configur(e|ation|ing)
1534;version_control,documentation,content_management;examples?,(folders?|director(y|ies)),git(hub)?
1541;installation,other;search,don't know
1551;hosting,ux,other;(style(s|sheets?)?|styling|CSS|themes?|skin|fonts?|colo(u)?rs?),confusing,server
1556;ux;interface
1557;hosting,editor,visualization;(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard,start,widgets?
1559;documentation;doc(s|umentation)?($|\W)
1562;hosting,editor,ux,content_management;(folders?|director(y|ies)),launch(ing)?,(better|modern) (UI|interface),interface,(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard
1575;documentation;doc(s|umentation)?($|\W),tutorial(s?)
1590;documentation;instructions
1594;ux;(reorder|move|select) cells
1595;installation;install(ation)?
1598;documentation;help,doc(s|umentation)?($|\W)
1600;documentation;tutorial(s?)
1604;documentation,ux,editor;(menu|buttons?|toolbar|tooltips?|logo|icons?),(hot)?key(\s|-)?(mappings|bindings|strokes)|short-?cuts|keyboard,hints
1606;documentation;doc(s|umentation)?($|\W)
1616;ux;interface
1621;ux;responsive
1622;hosting,documentation,installation;install(ation)?,tutorial(s?),server
1623;documentation;examples?,doc(s|umentation)?($|\W)
1624;documentation;doc(s|umentation)?($|\W)
1626;installation,extensions;install(ation)?,extensions?
1627;ux,content_management,extensions;(multi-|multiple\s)cells?,toc|table of contents,extensions?
1638;ux;(menu|buttons?|toolbar|tooltips?|logo|icons?)
1639;editor;(text|code\s)?edit(or|ing)
1650;version_control;git(hub)?
1657;editor,extensions;(text|code\s)?edit(or|ing),extensions?
1661;;
1662;installation;set(ting)?(\s)?up
1667;hosting,ux;(menu|buttons?|toolbar|tooltips?|logo|icons?),launch(ing)?
1668;visualization;widgets?
1691;installation;install(ation)?
1694;installation,integration;install(ation)?,(ana)?conda
1695;version_control;version control
1700;ux;(menu|buttons?|toolbar|tooltips?|logo|icons?)
1701;language;python
