;roles_roles;roles_keywords;roles_primary
1053;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1054;scientist;^((?!data).)*scientist;scientist
1064;manager;director;manager
1065;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1066;developer;develop(er|ment);developer
1067;student;student;student
1072;student;student;student
1074;student,data_scientist;student,phd,data(\s|-)scien(ce|tist);student
1076;data_scientist;data analys(t|is);data_scientist
1083;financial_analyst;financial (model(er|ing)|analyst);financial_analyst
1087;student;student;student
1090;student;student;student
1093;researcher;research(er)?;researcher
1095;student;student,phd;student
1100;developer,data_scientist;develop(er|ment),machine learning;data_scientist
1102;financial_analyst;financial (model(er|ing)|analyst);financial_analyst
1104;student;student;student
1106;researcher;research(er)?;researcher
1107;engineer;^((?!software).)*engineer;engineer
1112;student,engineer;student,^((?!software).)*engineer;student
1114;student;student;student
1116;developer;software (engineer|architect);developer
1118;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1122;developer,researcher;develop(er|ment),research(er)?;developer
1124;developer;develop(er|ment);developer
1125;;;
1129;analyst,manager;^((?!(data|financial)).)*analyst,manager;manager
1131;data_scientist;data analys(t|is);data_scientist
1133;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1134;engineer;^((?!software).)*engineer;engineer
1135;student;student;student
1139;scientist;(astro|bio|geo)?physic(s|ist)?;scientist
1144;developer,researcher;software (engineer|architect),research(er)?;developer
1145;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1151;data_scientist;data analys(t|is);data_scientist
1157;independent;hobby?(ist)?;independent
1159;developer;develop(er|ment);developer
1161;student;student;student
1162;student,manager,educator;student,director,teach(er|ing);educator
1163;independent;independent;independent
1164;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1166;independent;artist;independent
1169;scientist,student;(astro|bio|geo)?physic(s|ist)?,student,phd;student
1172;analyst;^((?!(data|financial)).)*analyst;analyst
1176;student;student;student
1178;developer;develop(er|ment);developer
1179;data_scientist;data(\s|-)scien(ce|tist);data_scientist
1182;researcher;research(er)?;researcher
1183;developer;develop(er|ment);developer
1184;scientist;^((?!data).)*scientist;scientist
